Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes
"Myotis brandtii","Eukaryota;Animals;Mammals","","SAMN01801565","PRJNA218631","GCA_000412655.1","Scaffold",2107.24,42.9,,"ANKR01",169750,40808,"2013-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/412/655/GCA_000412655.1_ASM41265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/655/GCF_000412655.1_ASM41265v1",28478
"Amanita muscaria Koide BX008","Eukaryota;Fungi;Basidiomycetes","Koide BX008","SAMN02746075","PRJNA207684","GCA_000827485.1","Scaffold",40.6998,47.7,,"JMDV01",1101,0,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/485/GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0",,0
"Onchocerca ochengi","Eukaryota;Animals;Roundworms","","SAMEA1034766","PRJEB1204","GCA_000950515.2","Scaffold",91.6606,29.6,,"FJNM01",20243,0,"2016-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/515/GCA_000950515.2_O_ochengi_Ngaoundere",,0
"Trichoplusia ni","Eukaryota;Animals;Insects","ovarian cell line Hi5","SAMN07304761","PRJNA497582","GCA_003590095.1"," Chromosome",368.211,35.6704,"chromosome 1:NC_039478.1/CM010751.1; chromosome 2:NC_039479.1/CM010752.1; chromosome 3:NC_039480.1/CM010753.1; chromosome 4:NC_039481.1/CM010754.1; chromosome 5:NC_039482.1/CM010755.1; chromosome 6:NC_039483.1/CM010756.1; chromosome 7:NC_039484.1/CM010757.1; chromosome 8:NC_039485.1/CM010758.1; chromosome 9:NC_039486.1/CM010759.1; chromosome 10:NC_039487.1/CM010760.1; chromosome 11:NC_039488.1/CM010761.1; chromosome 12:NC_039489.1/CM010762.1; chromosome 13:NC_039490.1/CM010763.1; chromosome 14:NC_039491.1/CM010764.1; chromosome 15:NC_039492.1/CM010765.1; chromosome 16:NC_039493.1/CM010766.1; chromosome 17:NC_039494.1/CM010767.1; chromosome 18:NC_039495.1/CM010768.1; chromosome 19:NC_039496.1/CM010769.1; chromosome 20:NC_039497.1/CM010770.1; chromosome 21:NC_039498.1/CM010771.1; chromosome 22:NC_039499.1/CM010772.1; chromosome 23:NC_039500.1/CM010773.1; chromosome 24:NC_039501.1/CM010774.1; chromosome 25:NC_039502.1/CM010775.1; chromosome 26:NC_039503.1/CM010776.1; chromosome 27:NC_039504.1/CM010777.1; chromosome 28:NC_039505.1/CM010778.1; mitochondrion MT:CM010779.1","NKQN01",1031,23658,"2018-02-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/590/095/GCA_003590095.1_tn1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/590/095/GCF_003590095.1_tn1",17254
"Fusarium equiseti","Eukaryota;Fungi;Ascomycetes","D25-1","SAMN09267440","PRJNA473205","GCA_003313175.1","Contig",40.776,48,,"QOHM01",16,0,"2018-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/175/GCA_003313175.1_ASM331317v1",,0
"Oehlia diaphana","Eukaryota;Fungi;Other Fungi","SD1","SAMN09466958","PRJNA477348","GCA_003833135.1","Scaffold",170.599,0,,"QZLH01",15410,0,"2018-11-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/833/135/GCA_003833135.1_ASM383313v1",,0
"Drosophila suzukii","Eukaryota;Animals;Insects","","SAMN02953868","PRJNA325161","GCA_000472105.1","Scaffold",232.923,41.8,,"AWUT01",8680,23160,"2013-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/472/105/GCA_000472105.1_Dsuzukii.v01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/472/105/GCF_000472105.1_Dsuzukii.v01",17222
"Betula nana","Eukaryota;Plants;Land Plants","","SAMEA2271942","PRJEB576","GCA_000327005.1","Scaffold",564.011,38.4,,"CAOK01",551915,0,"2012-11-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/005/GCA_000327005.1_ASM32700v1",,0
"Cucurbita moschata","Eukaryota;Plants;Land Plants","","SAMN06886672","PRJNA418582","GCA_002738365.1","Scaffold",269.943,36.8,,"NEWM01",3500,43715,"2017-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/365/GCA_002738365.1_Cmos_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/738/365/GCF_002738365.1_Cmos_1.0",34564
"Bagarius yarrelli","Eukaryota;Animals;Fishes","JWS20170419001","SAMN10979322","PRJNA523489","GCA_005784505.1","Scaffold",570.807,38,,"VCAZ01",541,17182,"2019-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/784/505/GCA_005784505.1_ASM578450v1",,17182
"Xenocatantops brachycerus","Eukaryota;Animals;Insects","","SAMEA104450353","PRJEB24040","GCA_900249655.1","Contig",41.6421,0,,"OFSG01",43187,0,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/249/655/GCA_900249655.1_ASM90024965v1",,0
"Glycine tomentella","Eukaryota;Plants;Land Plants","","SAMN08683511","PRJNA437717","GCA_007407185.1","Scaffold",1694.09,33.4,,"PYAF01",6353,0,"2019-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/407/185/GCA_007407185.1_G_tom_03Nov2016_Ncxrf_filtered",,0
"Fasciolopsis buski","Eukaryota;Animals;Flatworms","HT","SAMN11554071","PRJNA284521","GCA_008360955.1","Scaffold",748.158,41,,"LUCM01",11829,11837,"2019-09-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/360/955/GCA_008360955.1_F_buski_1.0.allpaths-lg",,11837
"Schizaphis graminum","Eukaryota;Animals;Insects","LNK","SAMN09001159","PRJNA454279","GCA_003264975.1","Scaffold",385.232,21.3,,"QEWZ01",7859,0,"2018-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/264/975/GCA_003264975.1_ASM326497v1",,0
"Verticillium alfalfae VaMs.102","Eukaryota;Fungi;Ascomycetes","VaMs.102","SAMN02953725","PRJNA29511","GCA_000150825.1","Scaffold",32.863,55.4,,"ABPE01",27,10220,"2008-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/825/GCA_000150825.1_ASM15082v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/825/GCF_000150825.1_ASM15082v1",10444
"Lacerta agilis","Eukaryota;Animals;Reptiles","rLacAgi1","SAMN12629509","PRJNA562018","GCA_009819535.1"," Chromosome",1391.41,43.7711,"chromosome 1:CM020416.1; chromosome 2:CM020417.1; chromosome 3:CM020418.1; chromosome 4:CM020419.1; chromosome 5:CM020420.1; chromosome 6:CM020421.1; chromosome 7:CM020422.1; chromosome 8:CM020423.1; chromosome 9:CM020424.1; chromosome 10:CM020425.1; chromosome 11:CM020426.1; chromosome 12:CM020427.1; chromosome 13:CM020428.1; chromosome 14:CM020429.1; chromosome 15:CM020430.1; chromosome 16:CM020431.1; chromosome 17:CM020432.1; chromosome 18:CM020433.1; chromosome Z:CM020434.1; chromosome W:CM020435.1; mitochondrion MT:CM020436.1","WNMS01",29,0,"2019-12-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/535/GCA_009819535.1_rLacAgi1.pri",,0
"Pangasianodon hypophthalmus","Eukaryota;Animals;Fishes","VN_RIA2_2014","SAMN08866743","PRJNA501861","GCA_003671635.1","Scaffold",715.76,39.0001,"mitochondrion MT:CM010854.1","QUXB01",567,38577,"2018-10-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/635/GCA_003671635.1_VN_pangasius","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/635/GCF_003671635.1_VN_pangasius",24083
"Echinococcus multilocularis","Eukaryota;Animals;Flatworms","","SAMEA2271939","PRJEB122","GCA_000469725.3","Scaffold",114.963,42.5,,"CBLO02",1217,0,"2013-07-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/469/725/GCA_000469725.3_EMULTI002",,0
"Tachypleus tridentatus","Eukaryota;Animals;Other Animals","NWPU-2018","SAMN10425401","PRJNA505565","GCA_004210375.1"," Chromosome",2167.47,33.5077,"chromosome 1:CM014377.1; chromosome 2:CM014378.1; chromosome 3:CM014379.1; chromosome 4:CM014380.1; chromosome 5:CM014381.1; chromosome 6:CM014382.1; chromosome 7:CM014383.1; chromosome 8:CM014384.1; chromosome 9:CM014385.1; chromosome 10:CM014386.1; chromosome 11:CM014387.1; chromosome 12:CM014388.1; chromosome 13:CM014389.1","RQPD01",204,0,"2019-02-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/210/375/GCA_004210375.1_ASM421037v1",,0
"Rhazya stricta","Eukaryota;Plants;Land Plants","JS2016","SAMN03956791","PRJNA291945","GCA_001752375.1","Scaffold",274.354,32.9,,"MEJB01",979,0,"2016-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/752/375/GCA_001752375.1_RHA1.0",,0
"Cheirogaleus medius","Eukaryota;Animals;Mammals","cmid_1.0_TD","SAMN11334321","PRJNA523575","GCA_008086735.1","Scaffold",2121.89,39.9,,"VBSM01",3231,0,"2019-08-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/086/735/GCA_008086735.1_ASM808673v1",,0
"Mandrillus sphinx","Eukaryota;Animals;Mammals","Masph-2018","SAMN08634632","PRJNA436891","GCA_004802615.1","Scaffold",2860.58,39.6,,"SRPC01",53550,0,"2019-04-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/802/615/GCA_004802615.1_BGI_mandrill_1.0",,0
"Erythrocebus patas","Eukaryota;Animals;Mammals","BS28","SAMN07678082","PRJNA399392","GCA_004027335.1","Scaffold",3490.49,41.2,,"PVJV01",2563960,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/335/GCA_004027335.1_EryPat_v1_BIUU",,0
"Prolemur simus","Eukaryota;Animals;Mammals","KIAN8.4","SAMN05853041","PRJNA344914","GCA_003258685.1","Scaffold",2411.59,37.8,,"MPIZ01",128596,0,"2018-06-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/685/GCA_003258685.1_Prosim_1.0",,0
"Penicillium oxalicum 114-2","Eukaryota;Fungi;Ascomycetes","114-2","SAMN02981374","PRJNA60877","GCA_000346795.1","Scaffold",30.1774,50.6,,"AGIH01",9,0,"2013-03-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/795/GCA_000346795.1_pde_v1.0",,0
"Alligator sinensis","Eukaryota;Animals;Reptiles","","SAMN02981559","PRJNA221633","GCA_000455745.1","Scaffold",2270.57,44.6,,"AVPB01",9317,43092,"2013-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/455/745/GCA_000455745.1_ASM45574v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/745/GCF_000455745.1_ASM45574v1",24307
"[Candida] vartiovaarae","Eukaryota;Fungi;Ascomycetes","","SAMEA103900060","PRJEB19912","GCA_900465365.1","Scaffold",11.3251,46.2,,"UICF01",28,0,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/465/365/GCA_900465365.1_CvDDNA1.1",,0
"[Candida] sake","Eukaryota;Fungi;Ascomycetes","CBA6005","SAMN08563950","PRJNA434537","GCA_003243815.1","Contig",14.1182,38.8,,"QELA01",17,0,"2018-06-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/243/815/GCA_003243815.1_ASM324381v1",,0
"Pichia kluyveri","Eukaryota;Fungi;Ascomycetes","CBA6002","SAMN08563946","PRJNA434537","GCA_003327685.1","Contig",12.4,28.8,,"QEFR01",22,0,"2018-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/327/685/GCA_003327685.1_ASM332768v1",,0
"Barnettozyma californica","Eukaryota;Fungi;Ascomycetes","NRRL Y-17395","SAMN08343336","PRJNA429441","GCA_003706655.2","Scaffold",11.8483,41.6,,"PPLX02",270,0,"2018-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/706/655/GCA_003706655.2_ASM370665v2",,0
"Cirrhinus molitorella","Eukaryota;Animals;Fishes","Cmo-2017","SAMN10663080","PRJNA511029","GCA_004028445.1","Scaffold",920.273,34.3,,"SCHJ01",478313,0,"2019-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/028/445/GCA_004028445.1_ASM402844v1",,0
"Cyberlindnera suaveolens","Eukaryota;Fungi;Ascomycetes","NRRL Y-17391","SAMN08343286","PRJNA429441","GCA_003708225.2","Scaffold",12.3837,42.9,,"PPNS02",627,0,"2018-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/708/225/GCA_003708225.2_ASM370822v2",,0
"Ipomoea purpurea","Eukaryota;Plants;Land Plants","Rausher_C","SAMN11587612","PRJNA515629","GCA_009835305.1","Scaffold",194.325,38.1,,"VALG01",17867,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/835/305/GCA_009835305.1_UM_IpPur_1.0",,0
"Ogataea philodendri","Eukaryota;Fungi;Ascomycetes","NRRL Y-7210","SAMN08343372","PRJNA429441","GCA_003706115.2","Contig",8.84211,47.9,,"PPKN02",82,0,"2018-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/706/115/GCA_003706115.2_ASM370611v2",,0
"Glomus cerebriforme","Eukaryota;Fungi;Other Fungi","DAOM 227022","SAMN08364855","PRJNA430010","GCA_003550305.1","Scaffold",136.821,21.8,,"QKYT01",2571,21158,"2018-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/550/305/GCA_003550305.1_ASM355030v1",,21336
"Candida corydali","Eukaryota;Fungi;Ascomycetes","NRRL Y-27910","SAMN08343348","PRJNA429441","GCA_003706475.2","Scaffold",11.6104,34.1,,"PPLL02",157,0,"2018-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/706/475/GCA_003706475.2_ASM370647v2",,0
"Sporothrix schenckii 1099-18","Eukaryota;Fungi;Ascomycetes","1099-18","SAMN03199974","PRJNA218070","GCA_000961545.1","Contig",32.3751,55,,"AXCR01",16,10293,"2015-03-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/545/GCA_000961545.1_S_schenckii_v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/961/545/GCF_000961545.1_S_schenckii_v1",10432
"Pocillopora damicornis","Eukaryota;Animals;Other Animals","RSMAS","SAMN09007954","PRJNA506040","GCA_003704095.1","Scaffold",234.351,38.2994,"mitochondrion MT:NC_009797.1/","RCHS01",4393,25183,"2018-10-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/704/095/GCA_003704095.1_ASM370409v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/095/GCF_003704095.1_ASM370409v1",22860
"Paragonimus westermani","Eukaryota;Animals;Flatworms","IND2009","SAMN09005564","PRJNA454344","GCA_008508345.1","Scaffold",922.85,41.2001,"mitochondrion MT:CM017921.1","QNGE01",30456,12785,"2019-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/508/345/GCA_008508345.1_ASM850834v1",,12829
"Carollia perspicillata","Eukaryota;Animals;Mammals","US073","SAMN07678055","PRJNA399439","GCA_004027735.1","Scaffold",2689.41,42.7,,"PVKM01",1925339,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/735/GCA_004027735.1_CarPer_v1_BIUU",,0
"Anoura caudifer","Eukaryota;Animals;Mammals","US021","SAMN07678033","PRJNA399350","GCA_004027475.1","Scaffold",2206.59,41.7,,"PVKU01",337255,0,"2019-01-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/475/GCA_004027475.1_AnoCau_v1_BIUU",,0
"Tonatia saurophila","Eukaryota;Animals;Mammals","US038","SAMN07678031","PRJNA399356","GCA_004024845.1","Scaffold",2105.89,42,,"PVIA01",249810,0,"2019-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/845/GCA_004024845.1_TonSau_v1_BIUU",,0
"Echeneis naucrates","Eukaryota;Animals;Fishes","","SAMEA4966390","PRJEB31992","GCA_900963305.1"," Chromosome",544.229,41.4328,"chromosome 1:NC_042511.1/LR584042.1; chromosome 2:NC_042512.1/LR584043.1; chromosome 3:NC_042513.1/LR584044.1; chromosome 4:NC_042514.1/LR584045.1; chromosome 5:NC_042515.1/LR584046.1; chromosome 6:NC_042516.1/LR584047.1; chromosome 7:NC_042517.1/LR584048.1; chromosome 8:NC_042518.1/LR584049.1; chromosome 9:NC_042519.1/LR584050.1; chromosome 10:NC_042520.1/LR584051.1; chromosome 11:NC_042521.1/LR584052.1; chromosome 12:NC_042522.1/LR584053.1; chromosome 13:NC_042523.1/LR584054.1; chromosome 14:NC_042524.1/LR584055.1; chromosome 15:NC_042525.1/LR584056.1; chromosome 16:NC_042526.1/LR584057.1; chromosome 17:NC_042527.1/LR584058.1; chromosome 18:NC_042528.1/LR584059.1; chromosome 19:NC_042529.1/LR584060.1; chromosome 20:NC_042530.1/LR584061.1; chromosome 21:NC_042531.1/LR584062.1; chromosome 22:NC_042532.1/LR584063.1; chromosome 23:NC_042533.1/LR584064.1; chromosome 24:NC_042534.1/LR584065.1; mitochondrion MT:NC_022508.1/","CAAHFO01",38,38188,"2019-04-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/963/305/GCA_900963305.1_fEcheNa1.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/963/305/GCF_900963305.1_fEcheNa1.1",27205
"Acipenser ruthenus","Eukaryota;Animals;Fishes","Gen_M01","SAMN12612932","PRJNA561280","GCA_010645085.1"," Chromosome",1830.48,39.7582,"chromosome 1:CM021251.1; chromosome 2:CM021252.1; chromosome 3:CM021253.1; chromosome 4:CM021254.1; chromosome 5:CM021255.1; chromosome 6:CM021256.1; chromosome 7:CM021257.1; chromosome 8:CM021258.1; chromosome 9:CM021259.1; chromosome 10:CM021260.1; chromosome 11:CM021261.1; chromosome 12:CM021262.1; chromosome 13:CM021263.1; chromosome 14:CM021264.1; chromosome 15:CM021265.1; chromosome 16:CM021266.1; chromosome 17:CM021267.1; chromosome 18:CM021268.1; chromosome 19:CM021269.1; chromosome 20:CM021270.1; chromosome 21:CM021271.1; chromosome 22:CM021272.1; chromosome 23:CM021273.1; chromosome 24:CM021274.1; chromosome 25:CM021275.1; chromosome 26:CM021276.1; chromosome 27:CM021277.1; chromosome 28:CM021278.1; chromosome 29:CM021279.1; chromosome 30:CM021280.1; chromosome 31:CM021281.1; chromosome 32:CM021282.1; chromosome 33:CM021283.1; chromosome 34:CM021284.1; chromosome 35:CM021285.1; chromosome 36:CM021286.1; chromosome 37:CM021287.1; chromosome 38:CM021288.1; chromosome 39:CM021289.1; chromosome 40:CM021290.1; chromosome 41:CM021291.1; chromosome 42:CM021292.1; chromosome 43:CM021293.1; chromosome 44:CM021294.1; chromosome 45:CM021295.1; chromosome 46:CM021296.1; chromosome 47:CM021297.1; chromosome 48:CM021298.1; chromosome 49:CM021299.1; chromosome 50:CM021300.1; chromosome 51:CM021301.1; chromosome 52:CM021302.1; chromosome 53:CM021303.1; chromosome 54:CM021304.1; chromosome 55:CM021305.1; chromosome 56:CM021306.1; chromosome 57:CM021307.1; chromosome 58:CM021308.1; chromosome 59:CM021309.1; chromosome 60:CM021310.1","VTUV01",3403,0,"2020-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/645/085/GCA_010645085.1_ASM1064508v1",,0
"Pedetes capensis","Eukaryota;Animals;Mammals","US022","SAMN07678104","PRJNA399412","GCA_007922755.1","Scaffold",2850.08,41.2,,"VMDO01",673563,0,"2019-08-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/922/755/GCA_007922755.1_PedCap_v1_BIUU",,0
"Esox lucius","Eukaryota;Animals;Fishes","Castlegar BC 2017 Female #2","SAMN09690694","PRJNA268215","GCA_004634155.1"," Chromosome",940.907,42.2905,"linkage group LG01:NC_025968.4/CM015574.1; linkage group LG02:NC_025969.4/CM015575.1; linkage group LG03:NC_025970.4/CM015576.1; linkage group LG04:NC_025971.4/CM015577.1; linkage group LG05:NC_025972.4/CM015578.1; linkage group LG06:NC_025973.4/CM015579.1; linkage group LG07:NC_025974.4/CM015580.1; linkage group LG08:NC_025975.4/CM015581.1; linkage group LG09:NC_025976.4/CM015582.1; linkage group LG10:NC_025977.4/CM015583.1; linkage group LG11:NC_025978.4/CM015584.1; linkage group LG12:NC_025979.4/CM015585.1; linkage group LG13:NC_025980.4/CM015586.1; linkage group LG14:NC_025981.4/CM015587.1; linkage group LG15:NC_025982.4/CM015588.1; linkage group LG16:NC_025983.4/CM015589.1; linkage group LG17:NC_025984.4/CM015590.1; linkage group LG18:NC_025985.4/CM015591.1; linkage group LG19:NC_025986.4/CM015592.1; linkage group LG20:NC_025987.4/CM015593.1; linkage group LG21:NC_025988.4/CM015594.1; linkage group LG22:NC_025989.4/CM015595.1; linkage group LG23:NC_025990.4/CM015596.1; linkage group LG24:NC_025991.4/CM015597.1; linkage group LG25:NC_025992.4/CM015598.1; mitochondrion MT:NC_004593.1/CM015599.1","SAXP01",811,57626,"2019-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/634/155/GCA_004634155.1_Eluc_v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/634/155/GCF_004634155.1_Eluc_v4",31252
"Nibea albiflora","Eukaryota;Animals;Fishes","","SAMEA1067819","PRJEB24302","GCA_900327885.1","Scaffold",574.466,0,,"OOII01",11977,0,"2018-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/327/885/GCA_900327885.1_Nibea_albiflora_v1.0",,0
"Carcharodon carcharias","Eukaryota;Animals;Fishes","C_car_delaware_2007","SAMN04526268","PRJEB20083","GCA_902204185.1"," Chromosome",0.001005,50,,"CABITS01",3,0,"2019-08-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/204/185/GCA_902204185.1_broker_test2",,0
"Acanthoscurria geniculata","Eukaryota;Animals;Other Animals","","SAMN02720822","PRJNA222716","GCA_000661875.1","Scaffold",7178.4,40.2,,"AZMS01",4986575,0,"2014-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/661/875/GCA_000661875.1_Agen_v1",,0
"Cydia pomonella","Eukaryota;Animals;Insects","Jiuquan","SAMN09205828","PRJNA464426","GCA_003425675.2","Scaffold",772.892,33,,"QFTL02",1717,0,"2018-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/425/675/GCA_003425675.2_Cpom.V2",,0
"Komagataella phaffii GS115","Eukaryota;Fungi;Ascomycetes","GS115","SAMEA2272385","PRJEA37871","GCA_000027005.1"," Chromosome",9.21638,41.1319,"chromosome 1:NC_012963.1/FN392319.1; chromosome 2:NC_012964.1/FN392320.1; chromosome 3:NC_012965.1/FN392321.1; chromosome 4:NC_012966.1/FN392322.1",,4,5040,"2009-05-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/005/GCA_000027005.1_ASM2700v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/005/GCF_000027005.1_ASM2700v1",5040
"Bos mutus","Eukaryota;Animals;Mammals","yakQH1","SAMN00744358","PRJNA74739","GCA_000298355.1","Scaffold",2645.16,42,"mitochondrion MT:NC_006380.3/","AGSK01",41192,28881,"2012-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/355/GCA_000298355.1_BosGru_v2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/355/GCF_000298355.1_BosGru_v2.0",25577
"Lithobates catesbeianus","Eukaryota;Animals;Amphibians","Bruno","SAMN03760860","PRJNA285814","GCA_002284835.2","Scaffold",6250.35,43.6998,"mitochondrion MT:KX686108.1","LIAG02",1544635,13,"2017-01-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/835/GCA_002284835.2_RCv2.1",,37
"Oxygymnocypris stewartii","Eukaryota;Animals;Fishes","Jianluoli-Novo-2018","SAMN09762613","PRJNA485858","GCA_003573665.1","Scaffold",1849.22,0,,"QVTF01",26281,0,"2018-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/573/665/GCA_003573665.1_Novo_Ost_1.0",,0
"Helostoma temminkii","Eukaryota;Animals;Fishes","","SAMEA4028825","PRJEB12469","GCA_900302695.1","Scaffold",599.808,0,,"OMLM01",21407,0,"2018-03-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/302/695/GCA_900302695.1_ASM90030269v1",,0
"Beauveria pseudobassiana","Eukaryota;Fungi;Ascomycetes","KACC 47484","SAMN04531306","PRJNA314175","GCA_003267905.1","Scaffold",34.5081,49.4,,"LUDX01",524,0,"2018-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/267/905/GCA_003267905.1_ASM326790v1",,0
"Nesidiocoris tenuis","Eukaryota;Animals;Insects","","SAMEA6450522","PRJEB35378","GCA_902806785.1","Scaffold",355.121,37.5,,"CADCXU01",36513,24596,"2020-02-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/806/785/GCA_902806785.1_CYROTEf_10X_genome",,24596
"Trachinotus ovatus","Eukaryota;Animals;Fishes","","SAMEA104304870","PRJEB22654","GCA_900607315.1","Scaffold",648.062,41.1,,"UWUD01",138,0,"2018-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/315/GCA_900607315.1_golden_pompano_genome_assembly_version_2",,0
"Spheniscus demersus","Eukaryota;Animals;Birds","AP 173","SAMN12384881","PRJNA556735","GCA_010077935.1","Scaffold",1275.04,40.3,,"VUKX01",15338,14240,"2020-01-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/077/935/GCA_010077935.1_BGI_Sdem.V1",,15571
